site,year,month,day,temp_1m_C
Buckhorn,2010,5,5,5.522895497
Buckhorn,2010,5,6,7.748706897
Buckhorn,2010,5,7,10.41092871
Buckhorn,2010,5,8,11.77685639
Buckhorn,2010,5,9,11.48742867
Buckhorn,2010,5,10,8.62082697
Buckhorn,2010,5,11,9.760194652
Buckhorn,2010,5,12,10.93107165
Buckhorn,2010,5,13,13.48892884
Buckhorn,2010,5,14,14.0702389
Buckhorn,2010,5,15,12.85738122
Buckhorn,2010,5,16,15.32283148
Buckhorn,2010,5,17,14.43997154
Buckhorn,2010,5,18,11.94455778
Buckhorn,2010,5,19,10.74771637
Buckhorn,2010,5,20,7.463772616
Buckhorn,2010,5,21,6.994896717
Buckhorn,2010,5,22,8.645306161
Buckhorn,2010,5,23,7.35619952
Buckhorn,2010,5,24,9.363721937
Buckhorn,2010,5,25,10.80616429
Buckhorn,2010,5,26,10.39711605
Buckhorn,2010,5,27,10.84632262
Buckhorn,2010,5,28,9.237659905
Buckhorn,2010,5,29,10.41428886
Buckhorn,2010,5,30,10.82061114
Buckhorn,2010,5,31,13.29278369
Buckhorn,2010,6,1,11.55977204
Buckhorn,2010,6,2,12.66221288
Buckhorn,2010,6,3,10.74903816
Buckhorn,2010,6,4,11.04677336
Buckhorn,2010,6,5,13.61016946
Buckhorn,2010,6,6,13.00523345
Buckhorn,2010,6,7,13.68903085
Buckhorn,2010,6,8,13.41905021
Buckhorn,2010,6,9,11.93626346
Buckhorn,2010,6,10,10.65338234
Buckhorn,2010,6,11,11.77418618
Buckhorn,2010,6,12,15.78132541
Buckhorn,2010,6,13,13.54616176
Buckhorn,2010,6,14,10.92953258
Buckhorn,2010,6,15,9.536578739
Buckhorn,2010,6,16,10.08618797
Buckhorn,2010,6,17,11.30101491
Buckhorn,2010,6,18,12.545516
Buckhorn,2010,6,19,11.03620923
Buckhorn,2010,6,20,11.56198103
Buckhorn,2010,6,21,12.19496872
Buckhorn,2010,6,22,15.82167948
Buckhorn,2010,6,23,18.83810304
Buckhorn,2010,6,24,16.93150358
Buckhorn,2010,6,25,13.52944582
Buckhorn,2010,6,26,14.77126497
